Key,Screen/Context,English,Urdu,Roman Urdu,Notes
bookingStatusCompleted,Bookings / Status labels,Completed,مکمل,Mukammal,
bookingStatusExpired,Bookings / Status labels,Expired,ختم,Khatam,
jobStatusEnRoute,Worker jobs / Status labels,En Route,راستے میں,Raaste Mein,
jobStatusInProgress,Worker jobs / Status labels,In Progress,کام جاری,Kaam Jaari,
l10nFallbackProbe,Localization self-test,English fallback works,,,Intentionally untranslated: proves the English fallback | Intentionally left untranslated in app_ur.arb and app_ur_Latn.arb. Proves a missing key falls back to English rather than rendering blank or Urdu script on a Roman Urdu screen. Never shown in the UI; asserted by arb_parity_test.dart.
workerJobDetailsTitle,Ustaad,Job Details,کام کی تفصیل,Kaam Ki Tafseel,
workerJobLoadFailed,Ustaad,Failed to load job.,کام لوڈ نہیں ہو سکا۔,Kaam load nahi ho saka.,
workerStandardDirectHireNote,Ustaad,This is a Standard job. The client can hire you directly — you do not need to send an offer.,یہ ایک اسٹینڈرڈ کام ہے۔ کلائنٹ آپ کو براہِ راست ہائر کر سکتا ہے — آفر بھیجنے کی ضرورت نہیں۔,Yeh ek Standard kaam hai. Client aap ko seedha hire kar sakta hai — offer bhejne ki zaroorat nahi.,
workerReportSubmittedWaiting,Ustaad,Report submitted. Waiting for the client to accept the quote or close after inspection.,رپورٹ بھیج دی گئی۔ کلائنٹ کے کوٹ قبول کرنے یا معائنے کے بعد کام بند کرنے کا انتظار ہے۔,Report bhej di gayi. Client ke quote accept karne ya Muainay ke baad kaam band karne ka intezaar hai.,
workerClientSection,Ustaad,Client,کلائنٹ,Client,
workerPostedBy,Ustaad,Posted by,کام دینے والا,Kaam dene wala,
workerCategoryLabel,Ustaad,Category,کیٹیگری,Category,
workerTitleLabel,Ustaad,Title,عنوان,Unwan,
workerTimeSlotLabel,Ustaad,Time Slot,وقت کا سلاٹ,Waqt ka slot,
workerTimelineSection,Ustaad,Timeline,ٹائم لائن,Timeline,
workerTimelineScheduled,Ustaad,Scheduled,طے شدہ,Tay shuda,
workerTimelineStarted,Ustaad,Started,شروع ہوا,Shuru hua,
workerEstimatedLabel,Ustaad,Estimated,تخمینہ,Takhmeena,
workerFeeStatusLabel,Ustaad,Status,اسٹیٹس,Status,
workerCancelJob,Ustaad,Cancel Job,کام منسوخ کریں,Kaam cancel karein,
workerCancelJobTitle,Ustaad,Cancel this job?,یہ کام منسوخ کریں؟,Ye kaam cancel karein?,
workerCancelJobBody,Ustaad,Please tell the client why you are cancelling.,براہِ کرم کلائنٹ کو بتائیں کہ آپ کیوں منسوخ کر رہے ہیں۔,Baraye meherbani client ko batayein ke aap kyun cancel kar rahe hain.,
workerCancelOwnReasonHint,Ustaad,Write your own reason (required),اپنی وجہ لکھیں (لازمی),Apni wajah likhein (zaroori),
workerKeepJob,Ustaad,Keep Job,کام رکھیں,Kaam rakhein,
workerYesCancel,Ustaad,"Yes, cancel",جی ہاں، منسوخ کریں,"Ji haan, cancel karein",
workerCancelReasonEmergency,Ustaad,An emergency came up,ایمرجنسی آ گئی,Emergency aa gayi,
workerCancelReasonTooFar,Ustaad,The location is too far,جگہ بہت دور ہے,Location bohat door hai,
workerCancelReasonNoTools,Ustaad,Required tools or parts are not available,ضروری اوزار یا پرزے دستیاب نہیں,Zaroori tools ya parts available nahi,
workerCancelReasonSchedule,Ustaad,Time or schedule issue,وقت یا شیڈول کا مسئلہ,Waqt ya schedule ka issue,
workerCancelReasonCustomer,Ustaad,Customer or site related issue,کسٹمر یا جگہ سے متعلق مسئلہ,Customer ya site se mutaliq issue,
workerCancelReasonOther,Ustaad,Other,دیگر,Deegar,
workerAttachmentsVideos,Ustaad,Videos,ویڈیوز,Videos,
workerAttachmentsVoiceNotes,Ustaad,Voice Notes,وائس نوٹس,Voice notes,
workerStatusHistory,Ustaad,Status History,اسٹیٹس کی تاریخ,Status ki history,
workerMarkAsCompleted,Ustaad,Mark as Completed,مکمل شدہ نشان زد کریں,Mukammal mark karein,
workerClientReview,Ustaad,Client Review,کلائنٹ کا ریویو,Client ka review,
workerReviewRatingOutOfFive,Ustaad,{rating}/5,{rating}/5,{rating}/5,Placeholders: {rating} | Numeric rating shown next to the stars. Stays Latin digits in every language.
workerApproximateArea,Ustaad,Approximate area: {city},تخمینی علاقہ: {city},Takhmeeni ilaqa: {city},Placeholders: {city} | City comes from the backend and is never translated.
workerApproximateAreaUnavailable,Ustaad,Approximate area not available,تخمینی علاقہ دستیاب نہیں,Takhmeeni ilaqa available nahi,
workerDistanceLabel,Ustaad,Distance: {distance},فاصلہ: {distance},Faasla: {distance},"Placeholders: {distance} | {distance} is an already-formatted distance string such as ""250 m away""."
workerExactAddressAfterHire,Ustaad,The exact address and map become visible once you are hired for this job.,اس کام کے لیے ہائر ہونے کے بعد ہی صحیح پتہ اور نقشہ نظر آئے گا۔,Is kaam ke liye hire hone ke baad hi sahi address aur map nazar aayega.,
workerRoadRouteNotConfigured,Ustaad,Road route is not configured yet. Opening Google Maps for navigation.,روڈ روٹ ابھی سیٹ نہیں ہوا۔ راستے کے لیے گوگل میپس کھولا جا رہا ہے۔,Road route abhi set nahi hua. Raaste ke liye Google Maps khola ja raha hai.,
workerLocationPermissionDenied,Ustaad,Location permission denied.,لوکیشن کی اجازت نہیں دی گئی۔,Location ki ijazat nahi di gayi.,
workerDirectionsLocationFailed,Ustaad,Unable to get your location for directions.,راستے کے لیے آپ کی لوکیشن نہیں مل سکی۔,Raaste ke liye aap ki location nahi mil saki.,
workerArrivedAtJobLocation,Ustaad,You have arrived at the job location.,آپ کام کی جگہ پہنچ گئے ہیں۔,Aap kaam ki jagah pahunch gaye hain.,
workerYourLocation,Ustaad,Your Location,آپ کی لوکیشن,Aap ki location,
workerCityLabel,Ustaad,City,شہر,Sheher,
workerClientAddress,Ustaad,Client Address,کلائنٹ کا پتہ,Client ka address,
workerPinnedJobLocation,Ustaad,Pinned Job Location,نقشے پر لگی کام کی جگہ,Map par lagi kaam ki jagah,
workerPinnedOnMap,Ustaad,Pinned on map,نقشے پر لگا ہوا,Map par laga hua,
workerGettingLocation,Ustaad,Getting location...,لوکیشن لی جا رہی ہے...,Location li ja rahi hai...,
workerDirections,Ustaad,Directions,راستہ,Raasta,
workerOpenInMaps,Ustaad,Open in Maps,میپس میں کھولیں,Maps mein kholein,
workerDirectionsActive,Ustaad,Directions active,راستہ چل رہا ہے,Raasta chal raha hai,
workerUploadFailed,Ustaad,Upload failed. Please try again.,اپ لوڈ نہیں ہو سکا۔ دوبارہ کوشش کریں۔,Upload nahi ho saka. Dobara koshish karein.,
workerCompleteHighlightedFields,Ustaad,Please complete the highlighted fields below.,براہِ کرم نیچے نشان زد خانے مکمل کریں۔,Baraye meherbani neeche nishan zad khane mukammal karein.,
workerProfileSaveFailed,Ustaad,Failed to save profile. Please try again.,پروفائل محفوظ نہیں ہو سکی۔ دوبارہ کوشش کریں۔,Profile save nahi ho saki. Dobara koshish karein.,
workerProfileSubmitted,Ustaad,Profile submitted for approval.,پروفائل منظوری کے لیے بھیج دی گئی۔,Profile manzoori ke liye bhej di gayi.,
workerCompleteAllRequired,Ustaad,Please complete all required fields before submitting.,بھیجنے سے پہلے تمام ضروری خانے مکمل کریں۔,Bhejne se pehle tamam zaroori khane mukammal karein.,
workerProfileLoadFailed,Ustaad,Failed to load profile.,پروفائل لوڈ نہیں ہو سکی۔,Profile load nahi ho saki.,
workerFullLegalName,Ustaad,Full Legal Name,مکمل قانونی نام,Mukammal qanooni naam,
workerLegalNameHint,Ustaad,As written on your CNIC,جیسا آپ کے شناختی کارڈ پر لکھا ہے,Jaisa aap ke CNIC par likha hai,
workerLegalNameRequired,Ustaad,Full legal name is required.,مکمل قانونی نام ضروری ہے۔,Mukammal qanooni naam zaroori hai.,
workerCnicNumber,Ustaad,CNIC Number,شناختی کارڈ نمبر,CNIC number,
workerCnicInvalid,Ustaad,Enter CNIC like 12345-1234567-1,شناختی کارڈ اس طرح لکھیں: 12345-1234567-1,CNIC is tarah likhein: 12345-1234567-1,
workerMainSkill,Ustaad,Main Skill,بنیادی ہنر,Buniyadi hunar,
workerMainSkillNotSelected,Ustaad,Not selected,منتخب نہیں کیا گیا,Muntakhab nahi kiya gaya,
workerChangeSkill,Ustaad,Change,تبدیل کریں,Tabdeel karein,
workerMainSkillRequired,Ustaad,Please select your main skill.,براہِ کرم اپنا بنیادی ہنر منتخب کریں۔,Baraye meherbani apna buniyadi hunar muntakhab karein.,
workerExperienceYears,Ustaad,Experience in Years,تجربہ (سالوں میں),Tajurba (saalon mein),
workerExperienceHint,Ustaad,e.g. 3,مثلاً 3,misal ke taur par 3,
workerExperienceInvalid,Ustaad,Enter a valid number of years (0 or more).,سالوں کی درست تعداد لکھیں (0 یا اس سے زیادہ)۔,Saalon ki durust tadaad likhein (0 ya us se ziyada).,
workerResidentialAddress,Ustaad,Residential Address,رہائشی پتہ,Rihaishi address,
workerResidentialAddressHint,Ustaad,"House #, street, area, city",مکان نمبر، گلی، علاقہ، شہر,"Makan number, gali, ilaqa, sheher",
workerResidentialAddressRequired,Ustaad,Residential address is required.,رہائشی پتہ ضروری ہے۔,Rihaishi address zaroori hai.,
workerIdentityDocuments,Ustaad,Identity Documents,شناختی کاغذات,Shanakhti dastawezat,
workerCnicFront,Ustaad,CNIC Front,شناختی کارڈ کا اگلا رخ,CNIC ka agla rukh,
workerCnicBack,Ustaad,CNIC Back,شناختی کارڈ کا پچھلا رخ,CNIC ka pichla rukh,
workerLiveSelfie,Ustaad,Live Selfie,لائیو سیلفی,Live selfie,
workerDocumentRequired,Ustaad,Required,ضروری ہے,Zaroori hai,
workerAgreements,Ustaad,Agreements,معاہدے,Muahiday,
workerConfirmLegalName,Ustaad,I confirm my legal name matches my CNIC.,میں تصدیق کرتا ہوں کہ میرا قانونی نام میرے شناختی کارڈ کے مطابق ہے۔,Main tasdeeq karta hoon ke mera qanooni naam mere CNIC ke mutabiq hai.,
workerViewAgreement,Ustaad,View Agreement,معاہدہ دیکھیں,Muahida dekhein,
workerConfirmationRequired,Ustaad,This confirmation is required.,یہ تصدیق ضروری ہے۔,Ye tasdeeq zaroori hai.,
workerSubmitForApproval,Ustaad,Submit for Approval,منظوری کے لیے بھیجیں,Manzoori ke liye bhejein,
workerAgreementVersion,Ustaad,Version {version},ورژن {version},Version {version},Placeholders: {version} | {version} is the backend agreement version and stays Latin in every language.
workerOnboardingSubmitted,Ustaad,Submitted for Review,جائزے کے لیے بھیج دی گئی,Jaizey ke liye bhej di gayi,
workerOnboardingChangesRequired,Ustaad,Changes Required,تبدیلیاں درکار ہیں,Tabdeeliyan darkar hain,
workerOnboardingApproved,Ustaad,Approved,منظور شدہ,Manzoor shuda,
workerOnboardingDraft,Ustaad,Draft,مسودہ,Draft,
workerRoleBadge,Ustaad,Ustaad,استاد,Ustaad,
workerMainSkillWithName,Ustaad,Main Skill: {skill},بنیادی ہنر: {skill},Buniyadi hunar: {skill},Placeholders: {skill} | {skill} is the backend category name and is never translated.
workerNoMainSkillYet,Ustaad,No main skill selected yet,ابھی کوئی بنیادی ہنر منتخب نہیں کیا گیا,Abhi koi buniyadi hunar muntakhab nahi kiya gaya,
workerProfileApproval,Ustaad,Profile Approval,پروفائل کی منظوری,Profile ki manzoori,
inspHintFallback,Uncategorised,e.g. describe what you found,مثلاً بتائیں آپ کو کیا ملا,Maslan batayein aap ko kya mila,Issue-example hint shown when the booking's service category has no hint of its own.
bidAmountRequired,Bidding,Please enter an offer amount.,براہِ کرم آفر کی رقم لکھیں۔,Baraye meherbani offer ki raqam likhein.,
bidAmountRange,Bidding,"Offer amount must be between 100 and 500,000.","آفر کی رقم 100 سے 500,000 کے درمیان ہونی چاہیے۔","Offer ki raqam 100 se 500,000 ke darmiyan honi chahiye.",
bidSubmitted,Bidding,Offer submitted!,آفر بھیج دی گئی!,Offer bhej di gayi!,
bidSubmitFailed,Bidding,Failed to submit offer.,آفر نہیں بھیجی جا سکی۔,Offer nahi bheji ja saki.,
workerViewJobDetails,Ustaad,View Details,تفصیل دیکھیں,Tafseel dekhein,
workerSendOffer,Ustaad,Send Offer,آفر بھیجیں,Offer bhejein,
workerChangeOffer,Ustaad,Change Offer,آفر بدلیں,Offer badlein,
workerOnboardingSubmittedBody,Ustaad,Your profile is with the admin for review.,آپ کی پروفائل ایڈمن کے جائزے میں ہے۔,Aap ki profile admin ke jaizey mein hai.,
workerOnboardingChangesRequiredBody,Ustaad,Your profile needs changes — see the details.,آپ کی پروفائل میں تبدیلی درکار ہے — تفصیل دیکھیں۔,Aap ki profile mein tabdeeli darkar hai — tafseel dekhein.,
workerOnboardingRejectedBody,Ustaad,Your profile was rejected — see the reason.,آپ کی پروفائل مسترد ہو گئی — وجہ دیکھیں۔,Aap ki profile mustarad ho gayi — wajah dekhein.,
workerProfileIncomplete,Ustaad,Profile Incomplete,پروفائل نامکمل,Profile namukammal,
inspFormLabourCostRequired,Uncategorised,Labour cost *,مزدوری کی لاگت *,Mazdoori ki laagat *,
inspFormNotesOptional,Uncategorised,Notes (optional),نوٹس (اختیاری),Notes (ikhtiyari),
inspFormPartName,Uncategorised,Part name,پرزے کا نام,Purze ka naam,
inspFormQty,Uncategorised,Qty,تعداد,Tadaad,
inspFormUnitPrice,Uncategorised,Unit price,فی عدد قیمت,Fi adad qeemat,
inspFormWarrantyOptional,Uncategorised,Warranty / guarantee (optional),وارنٹی / گارنٹی (اختیاری),Warranty / guarantee (ikhtiyari),
inspFormPartsTotal,Uncategorised,Parts total,پرزوں کی کل رقم,Purzon ki kul raqam,
inspFormLabour,Uncategorised,Labour,مزدوری,Mazdoori,
inspFormMicPermanentlyDenied,Uncategorised,Microphone access is permanently denied. Enable it in Settings.,مائیکروفون کی اجازت مستقل بند ہے۔ اسے سیٹنگز میں آن کریں۔,Microphone ki ijazat mustaqil band hai. Ise Settings mein on karein.,
inspFormMicDenied,Uncategorised,Microphone permission denied.,مائیکروفون کی اجازت نہیں دی گئی۔,Microphone ki ijazat nahi di gayi.,
errorTimeout,Core / Errors,The connection timed out. Please try again.,کنکشن کا وقت ختم ہو گیا۔ دوبارہ کوشش کریں۔,Connection ka waqt khatam ho gaya. Dobara koshish karein.,Request timed out (Dio connect/send/receive timeout)
errorRequestCancelled,Core / Errors,The request was cancelled.,درخواست منسوخ کر دی گئی۔,Request cancel kar di gayi.,The app cancelled an in-flight request
errorInvalidRequest,Core / Errors,Some details are not correct. Please check them and try again.,کچھ تفصیلات درست نہیں ہیں۔ انہیں دیکھ کر دوبارہ کوشش کریں۔,Kuch tafseelat theek nahi hain. Inhein check kar ke dobara koshish karein.,HTTP 400 with no message from the backend
errorSessionExpired,Core / Errors,Your session has expired. Please log in again.,آپ کا سیشن ختم ہو گیا ہے۔ دوبارہ لاگ اِن کریں۔,Aap ka session khatam ho gaya hai. Dobara login karein.,HTTP 401 - the refresh token is gone too
errorForbidden,Core / Errors,You do not have permission for this action.,آپ کو اس کام کی اجازت نہیں ہے۔,Aap ko is kaam ki ijazat nahi hai.,HTTP 403
errorNotFound,Core / Errors,This is no longer available.,یہ اب دستیاب نہیں ہے۔,Yeh ab available nahi hai.,HTTP 404 - the booking/bid/profile is gone
errorConflict,Core / Errors,This has already been updated. Please refresh and try again.,یہ پہلے ہی اپ ڈیٹ ہو چکا ہے۔ ریفریش کر کے دوبارہ کوشش کریں۔,Yeh pehle hi update ho chuka hai. Refresh kar ke dobara koshish karein.,HTTP 409 with no message from the backend
errorTooManyRequests,Core / Errors,Too many attempts. Please wait a moment and try again.,بہت زیادہ کوششیں ہو گئی ہیں۔ تھوڑی دیر بعد دوبارہ کوشش کریں۔,Bohot zyada koshishein ho gayi hain. Thori dair baad dobara koshish karein.,HTTP 429 - rate limited
errorServer,Core / Errors,Server error. Please try again later.,سرور میں مسئلہ ہے۔ کچھ دیر بعد دوبارہ کوشش کریں۔,Server mein masla hai. Kuch dair baad dobara koshish karein.,HTTP 5xx
errorSmsSendFailed,Core / Errors,The SMS could not be sent. Please try again.,ایس ایم ایس نہیں بھیجا جا سکا۔ دوبارہ کوشش کریں۔,SMS bhejne mein masla hua. Dobara koshish karein.,Backend SMS provider could not deliver the OTP
errorOtpResendTooSoon,Core / Errors,Please wait a moment before requesting the OTP again.,دوبارہ او ٹی پی منگوانے سے پہلے تھوڑی دیر انتظار کریں۔,OTP dobara mangwane se pehle thori dair intezar karein.,"Backend code OTP_RESEND_TOO_SOON — fallback only; the backend's own message is shown when present, this covers the rare case it's empty"
errorInspectorBusy,Core / Errors,The inspecting Ustaad is busy on another job right now. Please choose another Ustaad from the list below.,معائنہ کرنے والا استاد ابھی دوسرے کام میں مصروف ہے۔ نیچے سے کوئی اور استاد منتخب کریں۔,Muaina karne wala Ustaad abhi doosre kaam mein masroof hai. Neeche se koi aur Ustaad choose karein.,Backend code INSPECTOR_BUSY on a rehire attempt
errorPhoneNotRegistered,Core / Errors,This number is not registered.,یہ نمبر رجسٹرڈ نہیں ہے۔,Ye number registered nahi hai.,Backend code PHONE_NOT_REGISTERED — login with a phone that either doesn't exist or belongs to the opposite role. Deliberately identical wording for both cases (role-privacy).
errorPhoneAlreadyRegistered,Core / Errors,This number is already registered.,یہ نمبر پہلے سے رجسٹرڈ ہے۔,Ye number pehle se registered hai.,"Backend code PHONE_ALREADY_REGISTERED — registration with a phone that already has an account, regardless of role."
errorUnknown,Core / Errors,Something went wrong. Please try again.,کچھ گڑبڑ ہو گئی۔ دوبارہ کوشش کریں۔,Kuch masla ho gaya. Dobara koshish karein.,Last-resort wording when nothing more specific is known
errorOfflineActionBlocked,Core / Errors,No internet connection. Connect to the internet to continue.,انٹرنیٹ کنکشن موجود نہیں ہے۔ جاری رکھنے کے لیے انٹرنیٹ سے منسلک ہوں۔,Internet connection nahi hai. Yeh action karne ke liye internet se connect karein.,"A server-changing action (create/cancel booking, send message, etc.) was blocked client-side because the device has no network"
offlineCachedDataBanner,Uncategorised,Offline — showing saved data,آف لائن — محفوظ شدہ معلومات دکھائی جا رہی ہیں,Offline — saved data dikhaya ja raha hai,Small non-blocking banner shown when a screen is displaying cached data because the live fetch failed
authForgotPasswordTitle,Authentication,"Forgot your
password?","پاس ورڈ بھول
گئے؟","Password bhool
gaye?","Forgot-password screen, step 1 heading"
authSetNewPasswordTitle,Authentication,"Set a new
password","نیا پاس ورڈ
سیٹ کریں","Naya password
banayein","Forgot-password screen, step 2 heading"
authEnterCodeSentToNumber,Authentication,Enter the code sent to your number.,اپنے نمبر پر بھیجا گیا کوڈ درج کریں۔,Number par aaya code likhein.,"Forgot-password screen, step 2 subtitle"
authForgotPasswordClientOnly,Authentication,For Client accounts only. A code will be sent to the registered number.,صرف کلائنٹ اکاؤنٹ کے لیے۔ رجسٹرڈ نمبر پر کوڈ بھیجا جائے گا۔,Sirf Client account ke liye. Registered number par code bheja jayega.,Client forgot-password screen subtitle
authForgotPasswordWorkerOnly,Authentication,For Ustaad accounts only. A code will be sent to the registered number.,صرف استاد اکاؤنٹ کے لیے۔ رجسٹرڈ نمبر پر کوڈ بھیجا جائے گا۔,Sirf Ustaad account ke liye. Registered number par code bheja jayega.,Ustaad forgot-password screen subtitle
authErrorCodeSendFailed,Authentication,The code could not be sent.,کوڈ نہیں بھیجا جا سکا۔,Code bhejne mein masla hua.,Snackbar when an OTP request fails
authErrorPasswordChangeFailed,Authentication,The password could not be changed.,پاس ورڈ تبدیل نہیں ہو سکا۔,Password badal nahi saka.,Snackbar when a password reset fails
authErrorLoginFailed,Authentication,Could not log you in.,لاگ اِن نہیں ہو سکا۔,Login nahi ho saka.,Snackbar when a login attempt fails
authErrorRegisterFailed,Authentication,The account could not be created.,اکاؤنٹ نہیں بن سکا۔,Account nahi ban saka.,Snackbar when Ustaad registration fails
authLoginWithOtp,Authentication,Log In With OTP,او ٹی پی سے لاگ اِن کریں,OTP se login karein,Ustaad login button once the code has been sent
authHintExampleFullName,Authentication,Muhammad Ali Khan,محمد علی خان,Muhammad Ali Khan,Example name shown as the full-name field hint
notificationsBannerFallbackTitle,Notifications,Notification,اطلاع,Notification,In-app banner title when the payload carries none
legalEnglishOnlyNotice,Legal,This legal document is currently available in English only.,یہ قانونی دستاویز فی الحال صرف انگریزی میں دستیاب ہے۔,Yeh qanooni document filhal sirf English mein available hai.,"Shown above the Privacy Policy and Terms bodies, which are approved in English only"
myBookingsTotalCount,Uncategorised,{count} total,کل {count},Kul {count},Placeholders: {count} | Pill above the bookings list showing how many there are
workerBidJobFallbackTitle,Ustaad,Job,کام,Kaam,Heading on the bid screen when the job title was not passed through
navHome,Uncategorised,Home,ہوم,Home,Bottom-navigation tab: the home screen. Client and Ustaad share it.
navBookings,Uncategorised,Bookings,بکنگز,Bookings,Bottom-navigation tab: the client's bookings list.
inspectionRowIssueFound,Inspection flow,Issue found,جو مسئلہ ملا,Jo masla mila,Row label above what the Ustaad found during the inspection
inspectionRowNotes,Inspection flow,Notes,نوٹس,Notes,Row label above the Ustaad's free-text notes on the report
inspectionBadgeAwaitingDecision,Inspection flow,Report submitted — awaiting decision,رپورٹ جمع ہو گئی — فیصلے کا انتظار,Report jama ho gayi — faisle ka intezar,Status badge on the inspection report while the client has not decided
inspectionBadgeQuoteAccepted,Inspection flow,Quote accepted — repair in progress,قیمت منظور — مرمت جاری ہے,Quote manzoor — marammat jari hai,Status badge on the inspection report once the repair quote was accepted
inspectionBadgeFindingAnother,Inspection flow,Finding another Ustaad — open for offers,دوسرا استاد تلاش کیا جا رہا ہے — آفرز کے لیے کھلا,Doosra Ustaad talash kiya ja raha hai — offers ke liye khula,Status badge on the inspection report after the client chose to re-open bidding
inspStripClosedFeeOnlyWithAmount,Uncategorised,Closed after inspection — client pays inspection fee only: {fee},معائنے کے بعد بند — کلائنٹ صرف معائنہ فیس دے گا: {fee},Muainay ke baad band — client sirf Muaina fee dega: {fee},Placeholders: {fee} | Status strip when the job closed after inspection and the fee amount is known
inspStripClosedFeeOnly,Uncategorised,Closed after inspection — client pays inspection fee only.,معائنے کے بعد بند — کلائنٹ صرف معائنہ فیس دے گا۔,Muainay ke baad band — client sirf Muaina fee dega.,Same strip when no fee snapshot is available to show
inspStripRepairCompletedFeeWaived,Uncategorised,Repair completed — inspection fee waived.,مرمت مکمل — معائنہ فیس معاف۔,Marammat mukammal — Muaina fee maaf.,Status strip once an inspection-lane repair finished
inspStripQuoteAcceptedFeeWaived,Uncategorised,Quote accepted — inspection fee waived. Repair in progress.,قیمت منظور — معائنہ فیس معاف۔ مرمت جاری ہے۔,Quote manzoor — Muaina fee maaf. Marammat jari hai.,Status strip while the accepted repair is being carried out
inspStripReportSubmitted,Uncategorised,Inspection report submitted — review quote to continue repair or close after inspection.,معائنہ رپورٹ جمع ہو گئی — مرمت جاری رکھنے کے لیے قیمت دیکھیں یا معائنے کے بعد بند کریں۔,Muaina report jama ho gayi — marammat jari rakhne ke liye quote dekhein ya Muainay ke baad band karein.,Status strip once the Ustaad submitted the report and the client must decide
inspStripUstaadHired,Uncategorised,Ustaad hired,استاد ہائر ہو گیا,Ustaad hire ho gaya,Status strip once an Ustaad is assigned to the inspection
inspStripBookedChooseUstaad,Uncategorised,Inspection booked — choose an Ustaad,معائنہ بک ہو گیا — استاد منتخب کریں,Muaina book ho gaya — Ustaad chunein,Status strip while the inspection is still pending an Ustaad
chooseChipCancelRate,Uncategorised,{rate}% cancel,{rate}% منسوخی,{rate}% cancel,Placeholders: {rate} | Stat chip on an Ustaad card: their cancellation rate
locationCurrentFailed,Uncategorised,Could not get current location.,موجودہ لوکیشن حاصل نہیں ہو سکی۔,Maujooda location hasil nahi ho saki.,Shown when the GPS button fails to resolve a position
locationResolveFailed,Uncategorised,Could not resolve selected location.,منتخب لوکیشن معلوم نہیں ہو سکی۔,Muntakhib location maloom nahi ho saki.,Shown when a search result cannot be turned into coordinates
locationOutsideKarachi,Uncategorised,Location is outside the Karachi service area.,یہ لوکیشن کراچی کے سروس ایریا سے باہر ہے۔,Yeh location Karachi ke service area se bahar hai.,Shown when the picked point falls outside the serviceable area
postJobVideoTooLong,Uncategorised,Video must be {seconds} seconds or shorter.,ویڈیو {seconds} سیکنڈ یا اس سے کم ہونی چاہیے۔,Video {seconds} second ya us se kam honi chahiye.,Placeholders: {seconds} | Rejects an attached video that is longer than the allowed duration
postJobLocationRetrieveFailed,Uncategorised,Could not retrieve location. Please try again.,لوکیشن حاصل نہیں ہو سکی۔ دوبارہ کوشش کریں۔,Location hasil nahi ho saki. Dobara koshish karein.,Shown when reading the device location fails on the post-job form
postJobSelectOption,Uncategorised,Select an option to continue.,جاری رکھنے کے لیے ایک آپشن منتخب کریں۔,Jari rakhne ke liye ek option chunein.,Validation: no booking lane was picked
postJobDescribeIssue,Uncategorised,Please describe what needs fixing.,براہ کرم بتائیں کہ کیا ٹھیک کروانا ہے۔,Baraye meherbani batayein ke kya theek karwana hai.,Validation: the job description is too short
postJobSelectStandardService,Uncategorised,Please select at least one standard service.,کم از کم ایک اسٹینڈرڈ سروس منتخب کریں۔,Kam az kam ek standard service chunein.,Validation: the standard lane needs at least one service ticked
postJobSelectArrivalWindow,Uncategorised,Please select an arrival window.,براہ کرم آمد کا وقت منتخب کریں۔,Baraye meherbani aane ka waqt chunein.,Validation: no time slot was picked for a scheduled booking
postJobSelectUrgencyWindow,Uncategorised,Please select an urgency window.,براہ کرم فوری وقت منتخب کریں۔,Baraye meherbani foran ka waqt chunein.,Validation: no window was picked for an urgent booking
postJobEnterAddress,Uncategorised,Enter your address.,اپنا پتہ درج کریں۔,Apna pata darj karein.,Validation: the address field is empty on final submit
postJobAddAddressToContinue,Uncategorised,Add your service address to continue.,جاری رکھنے کے لیے اپنا سروس پتہ شامل کریں۔,Jari rakhne ke liye apna service pata shamil karein.,Validation: the address step cannot be left without an address
postJobNearbyNotifiedNow,Uncategorised,Nearby Ustaads are notified right away.,قریبی استادوں کو فوراً اطلاع دی جاتی ہے۔,Qareebi Ustaadon ko foran ittila di jati hai.,Note under the urgent option explaining what happens on submit
postJobInspectionNotAvailable,Uncategorised,Inspection is not available for this service.,اس سروس کے لیے معائنہ دستیاب نہیں ہے۔,Is service ke liye Muaina available nahi hai.,Shown when tapping the inspection lane on a category that does not offer it
postJobInspectionHeroStep1,Uncategorised,The Ustaad comes and checks it himself,استاد آ کر خود چیک کرے گا,Ustaad aa kar khud check karega,"Inspection explainer, step 1"
postJobInspectionHeroStep2,Uncategorised,The rate is agreed before any work starts.,کام شروع کرنے سے پہلے ریٹ طے ہو جائے گا۔,Kaam shuru karne se pehle rate clear hoga.,"Inspection explainer, step 2"
postJobInspectionHeroStep3,Uncategorised,"Go ahead if you like the quote, otherwise just pay the inspection fee.",پسند آئے تو کام کروا لیں، ورنہ صرف معائنہ فیس دیں۔,"Pasand aaye to kaam karwa lein, warna sirf Muaina fee dein.","Inspection explainer, step 3"
postJobStandardTotalFinal,Uncategorised,Total amount is final — no offers. You choose your Ustaad in the next step.,کل رقم حتمی ہے — کوئی آفر نہیں۔ اگلے مرحلے میں آپ استاد منتخب کریں گے۔,Total amount final hai — koi offer nahi. Aap next step par Ustaad choose karenge.,Note under the standard-lane price summary
postJobHowInspectionStep1,Uncategorised,The inspection fee is fixed.,معائنہ فیس مقرر ہے۔,Muaina fee fixed hai.,"""How inspection works"" card, step 1"
postJobHowInspectionStep2,Uncategorised,"Ustaad visits, finds the problem, and gives you a fixed repair quote in the app.",استاد آتا ہے، مسئلہ معلوم کرتا ہے، اور ایپ میں مرمت کی مقررہ قیمت دیتا ہے۔,"Ustaad aata hai, masla maloom karta hai, aur app mein marammat ka fixed quote deta hai.","""How inspection works"" card, step 2"
